"","dept","course_num","title","time","dist","semester"
"1","accounting","ACCT 270","Foundations of Accounting and Valuation","HTBA","not specified","both"
"2","aerospace-studies","USAF 101","Foundation of the U.S. Air Force","HTBA","not specified","fall"
"3","aerospace-studies","USAF 202","The Evolution of U.S. Air and Space Power","HTBA","not specified","spring"
"4","aerospace-studies","USAF 301","Air Force Leadership Studies","T 8:20am-11:10am","not specified","fall"
"5","aerospace-studies","USAF 401","National Security Affairs and Preparation for Active Duty","M 9:25am-11:15am","not specified","fall"
"6","aerospace-studies","HIST 221","Military History of the West since 1500","TTh 10:30am-11:20am","HU","fall"
"7","african-american-studies","AFAM 010","Twentieth-Century African American Poetry","MW 11:35am-12:50pm","HU","fall"
"8","african-american-studies","AFAM 060","Significance of American Slavery","MW 1pm-2:15pm","WR","fall"
"9","african-american-studies","AFAM 112","New York Mambo: Microcosm of Black Creativity","TTh 11:35am-12:25pm","HU","fall"
"10","african-american-studies","AFAM 125","The Long Civil Rights Movement","TTh 11:35am-12:25pm","HU","fall"
"11","african-american-studies","AFAM 140","Race and Gender in American Literature","TTh 11:35am-12:25pm","WR","spring"
"12","african-american-studies","AFAM 160","The Rise and Fall of Atlantic Slavery","MW 9:25am-10:15am","HU","fall"
"13","african-american-studies","AFAM 172","The Civil War and Reconstruction Era1845–1877","TTh 10:30am-11:20am","HU","spring"
"14","african-american-studies","AFAM 178","From West Africa to the Black Americas: The Black Atlantic Visual Tradition","TTh 11:35am-12:50pm","HU","spring"
"15","african-american-studies","AFAM 183","Afro-Modernism in the Twentieth Century","MW 1pm-2:15pm","HU","fall"
"16","african-american-studies","AFAM 194","African American Arts Today","MW 1pm-2:15pm","HU","spring"
"17","african-american-studies","AFAM 203","Coltrane and Hendrix","TTh 2:30pm-3:20pm","HU","fall"
"18","african-american-studies","AFAM 215","African American Art1963 to the Present","MW 10:30am-11:20am","HU","spring"
"19","african-american-studies","AFAM 251","Critical Race Theory","T 9:25am-11:15am","not specified","spring"
"20","african-american-studies","AFAM 254","Archives of Black Atlantic Slavery","T 1:30pm-3:20pm","HU","fall"
"21","african-american-studies","AFAM 255","The American South1870 to the Present","W 3:30pm-5:20pm","WR","fall"
"22","african-american-studies","AFAM 268","Urban Politics and Policy","Th 1:30pm-3:20pm","SO","fall"
"23","african-american-studies","AFAM 269","Egalitarianism","HTBA","SO","spring"
"24","african-american-studies","AFAM 270","PovertyPoliticsand Policy in the American City","W 3:30pm-5:20pm","SO","spring"
"25","african-american-studies","AFAM 273","Inequality in America","T 9:25am-11:15am","WR","spring"
"26","african-american-studies","AFAM 276","Race and the Politics of Punishment","Th 9:25am-11:15am","SO","spring"
"27","african-american-studies","AFAM 291","Pop Art and Black Culture","W 1:30pm-3:20pm","HU","spring"
"28","african-american-studies","AFAM 302","Music and African American Literature","T 1:30pm-3:20pm","WR","fall"
"29","african-american-studies","AFAM 324","Urban Latina/o Cultures","W 2:30pm-4:20pm","HU","fall"
"30","african-american-studies","AFAM 325","Social Policy and the Politics of Inequality in the United States","TTh 1pm-2:15pm","SO","fall"
"31","african-american-studies","AFAM 336","Haitian and Dominican Literature and Culture","W 1:30pm-3:20pm","HU","spring"
"32","african-american-studies","AFAM 338","Caribbean Poetry","Th 2:30pm-4:20pm","WR","fall"
"33","african-american-studies","AFAM 349","Civil Rights and Women's Liberation","Th 9:25am-11:15am","HU","spring"
"34","african-american-studies","AFAM 380","Antebellum America","T 9:25am-11:15am","WR","fall"
"35","african-american-studies","AFAM 383","The Two Congos: Literature and Culture in the Heart of Africa","T 1:30pm-3:20pm","HU","spring"
"36","african-american-studies","AFAM 408","African American Poets of the Modern Era","M 1:30pm-3:20pm","HU","fall"
"37","african-american-studies","AFAM 410","Interdisciplinary Approaches to African American Studies","W 3:30pm-5:20pm","WR","spring"
"38","african-american-studies","AFAM 411","Fictions of Imaginary and Imminent Futures","W 1:30pm-3:20pm","HU","fall"
"39","african-american-studies","AFAM 428","Dance and Black Popular Culture","W 3:30pm-5:20pm","HU","spring"
"40","african-american-studies","AFAM 471","Independent Study: African American Studies","HTBA","not specified","fall"
